Main Dishes and Entrées,28,,,,,,,,,,,,,,,,,,,
*,3,Classic,Heartful,Crystal-Clear,Boneless,Full-Flavoured,Vibrant,Organic,Non-GMO,N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,4,Optic-White,Chinese Style,Vietnamese Style,Thai-Inspired,Brazilian Style,Polish Style,Crimson,N/A,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,1,2,,,,,,,,,,,,,,,
*,2,Sliced,Diced,Strapped,Shredded,Mashed,Julienned,Minced,All Veggie,N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
*,1,Curried,Slow Roasted,Braised,Stewed,Stuffed,Larded,Smoked,Fried,Deep Fried,Grilled,Marinated,Casseroled,Glazed,Spiced,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2,,,1,,,,,
*,1,Chicken Breast,Leg of Lamb,Beef Tenderloin ,Duck,Meatloaf,Shrimp,Pork Steak,BBQ Ribs,Squid,Sausage,Ham,Turkey Legs,Meatballs,Chicken Thigh,Pork Belly,Cod,Sea Bass,Salmon,Goose Breasts 
,,-2,2.5,4.5,0,-4.5,2,1.5,2.5,3.5,-0.5,0,4,-1.5,0,0.5,2.5,3.5,2,0
,,,,,,,,,,,,,,,,,,,,
,2,T-Bone,Pork Loin,Veal ,Foreshank,Sea-Slugs,Beef Enchiladas,Fish Steak,Crab,Chicken Wings,Crocodile Brain,Lobster,Chicken Neck,Blood Sausage,Foie Gras,Pheasant,Sirloin,Swordfish,Cuttlefish,Boin-in Rib-Eye
,,8,4.5,5,6.5,6.5,10,2.5,2,0,4.5,10,-4,2,14,6.5,2,4.5,6,10
,,,,,,1,2,,,,,,,,,,,,,
*,next,Sprinkled with,Covered with,Dressed with,Soaked in,Masked with,Seasoned with,Coated with,Mixed with,Filled with,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
*,2,Cumin Powder,Chili,Walnuts,Melted Cheese,Maple syrup,Serum,Pineapple Sauce,Mushroom,Tartar Sauce,Red-Pepper Jelly,Brandied Chile Oil,Ground Pink peppercorn,Tahini Sauce,Sage-Butter Sauce,Green Curry Sauce,Gold Leaf,Black Pepper,Gasoline,N/A
,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,3,2,1,,,2,,,,
*,next,", Served with",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
*,4,Seasonal Veggies,Rice,French Fries,5 Bananas,A Cup of Distilled Water,A Calendar for 2018,Goat Horns,Mashed Potatoes,Liquid Nitrogen,Peanut Dipping Sauce,Mint Mojo,WiFi Jammer,Creamy Avocade Dip,Awesome! Dip,A Cigar Cut in Half,Vinegar Dip,1/3 Cup of Brandy,N/A,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,